nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Privada Pascual i Prats|Fundació|1788|2003/03/27|Carrer Albereda , 3-5, àtic|Girona|17004|Gironès|Docent|Altres activitats formatives ; Docent
Fundació Privada Pasqual Maragall per a la Recerca sobre l'Alzheimer (Fundació Pasqual Maragall)|Fundació|2478|2008/09/12|Carrer Wellington , 30|Barcelona|08005|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Privada Passionarium|Fundació|1852|2003/09/10|Carrer Anselm Clavé , 109|Olesa de Montserrat|08640|Baix Llobregat|Cultural|Cultural ; Realització actes culturals
Fundació Privada Patronat Antoni Roig Copons|Fundació|585|1991/05/29|Carrer Alt de Sant Pere , 35|Torredembarra|43830|Tarragonès|Assistencial|Pobres i indigents ; Assistencial
Fundació Privada Patronat Col·legi La Salle Cassà|Fundació|54|1984/06/28|Carrer Germà Agustí , 25|Cassà de la Selva|17244|Gironès|Docent|Altres activitats formatives ; Docent
Fundació Privada Patronat de Socors d'Arenys de Mar|Fundació|366|1988/04/13|Carrer de l'Església , 24, 2n|Arenys de Mar|08350|Maresme|Assistencial|3a edat ; Assistencial
Fundació Privada Pau i Solidaritat|Fundació|1200|1998/07/22|Via Laietana , 16, 7a|Barcelona|08003|Barcelonès|Assistencial i Cultural|Promoció ; Assistencial ; Cultural
Fundació Privada PauBarcelona|Fundació|1995|2004/06/18|Rambla Catalunya , 54, pral.|Barcelona|08007|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Privada Pax - Pro Damnificats per Mines Antipersones|Fundació|2028|2004/10/21|Avinguda Diagonal , 590, 5è 1a|Barcelona|08021|Barcelonès|Assistencial i Cultural|Infància i adolescència ; Assistencial ; Cultural ; Realització actes culturals
Fundació Privada Pearson|Fundació|1617|2002/02/11|Carrer Joan d'Alòs , 19-21|Barcelona|08034|Barcelonès|Docent|Gestió centres d'ensenyament ; Docent
Fundació Privada Pedagògica Bergantí|Fundació|1460|2000/10/26|Carrer Fra Juníper Serra , 46|Masnou|08320|Maresme|Cultural|Realització actes culturals ; Cultural
Fundació Privada Pedralbes|Fundació|1176|1998/05/12|Carrer Can Mora , 7|Barcelona|08034|Barcelonès|Assistencial|Tutelar discapacitats psíquics ; Discapacitats ; Assistencial
Fundació Privada Peralada Esport|Fundació|1893|2003/11/10|Avinguda Jaume I , 3|Peralada|17491|Alt Empordà|Cultural|Esportives ; Cultural
Fundació Privada Pere Badia - Hospital de la Caritat de Torredembarra|Fundació|1089|1997/08/13|Carrer Pere Badia , 2-4|Torredembarra|43830|Tarragonès|Assistencial|3a edat ; Assistencial
Fundació Privada Pere Closa, per a la Formació i la Promoció dels Gitanos a Catalunya|Fundació|1211|1998/09/01|Carrer Francesc Macià , 36, ent.|Badalona|08912|Barcelonès|Cultural|Cultural ; Assistencial ; Atenció mèdica no hospitalària
Fundació Privada Pere Coromines, d'Estudis Filosòfics, Històrics, Literaris i d'Investigació Lingüística|Fundació|1082|1997/07/11|Carrer del Consolat de Mar , 9|Sant Pol de Mar|08395|Maresme|Cultural|Realització actes culturals ; Cultural
Fundació Privada Pere Maspons i Camarasa|Fundació|903|1995/06/06|Carrer Espí i Grau , 1|Granollers|08401|Vallès Oriental|Docent|Docent ; Promoció
Fundació Privada Pere Mitjans|Fundació|395|1988/10/13|Carrer Prim , 31-37, bxos.|Barcelona|08019|Barcelonès|Assistencial|Assistencial ; Discapacitats
Fundació Privada Pere Relats|Fundació|1124|1997/11/26|Carrer Venero , 4-6|Barcelona|08005|Barcelonès|Assistencial|3a edat ; Assistencial
Fundació Privada Pere Simón Borrell "In Memoriam"|Fundació|493|1990/07/30|Avinguda Batlló , 1|Olot|17800|Garrotxa|Cultural|Cultural ; Editorials
Fundació Privada Pere Suñé de l'Hospitalet Atletisme|Fundació|2211|2006/06/14|Carrer Manuel Azaña  , 1|Hospitalet de Llobregat|08906|Barcelonès|Cultural|Cultural
Fundació Privada Pere Virgili|Fundació|1123|1997/11/26|Carrer Carme  , 47|Barcelona|08001|Barcelonès|Fins Científics|Fins científics
Fundació Privada Persona|Fundació|2338|2007/07/11|Passeig Gràcia , 32, 1r 1a|Barcelona|08007|Barcelonès|Cultural|Cultural
Fundació Privada Petit Món|Fundació|2465|2008/07/21|Carrer Josep Irla i Bosch , 1-3, 8è 7|Barcelona|08034|Barcelonès|Assistencial|Assistencial
Fundació Privada Petit Reig|Fundació|2050|2004/12/16|Rambla Santa Eugènia , 1|Figueres|17742|Alt Empordà|Docent|Docent ; Gestió centres d'ensenyament
Fundació Privada Petjada de Sant Narcís.60|Fundació|2045|2004/12/03|Carrer de les Mosques , 1|Girona|17004|Gironès|Assistencial|Assistencial ; Residències ; 3a edat
Fundació Privada Photographic Social Vision|Fundació|1567|2001/07/04|Carrer Trafalgar , 19, pral. 1rB|Barcelona|08010|Barcelonès|Assistencial|Infància i adolescència ; Assistencial ; Promoció
Fundació Privada Picasso-Reventós|Fundació|104|1984/11/05|Passeig d'Isabel II , 1, 2n|Barcelona|08003|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Pimec|Fundació|2362|2007/10/17|Carrer Viladomat , 174|Barcelona|08015|Barcelonès|Cultural|Cultural
Fundació Privada Pintor Josep Amat|Fundació|1577|2001/09/12|Carrer Manacor , 10|Barcelona|08023|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Pirineu Cultura|Fundació|1691|2002/09/23|Carrer Ca L'agusti , s/n|Pedra|25721|Cerdanya|Cultural|Cultural
Fundació Privada Pius Bosch|Fundació|729|1993/10/06|Carrer Pujades , 176-178|Barcelona|08005|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Planas Giralt Museu del Perfum|Fundació|1715|2002/11/04|Passeig de Gràcia , 39|Barcelona|08007|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural ; Promoció
Fundació Privada Plat de Pobres Vergonyants de Santa Maria del Mar|Fundació|285|1987/01/27|Plaça de Santa Maria , 1|Barcelona|08003|Barcelonès|Assistencial|Assistencial ; Pobres i indigents
Fundació Privada Plataforma Educativa|Fundació|1790|2003/04/03|Carrer Garrotxa , 7, bxs.|Girona|17006|Gironès|Assistencial|Infància i adolescència ; Assistencial
Fundació Privada Pons Rosell|Fundació|1602|2001/11/19|Rambla Rambla , 25, 1r|Figueres|17600|Alt Empordà|Assistencial|Assistencial ; 3a edat
Fundació Privada PortAventura|Fundació|2660|2011/01/27|Avinguda Pere Molas , Km. 2|Vila-seca|43480|Tarragonès|Assistencial|Assistencial
Fundació Privada Portal|Fundació|1684|2002/08/21|Carrer Julià Romea , 12|Barcelona|08006|Barcelonès|Assistencial|Assistencial ; Famílies
Fundació Privada Prahu Projectes i Ajuts Humanitaris|Fundació|942|1996/01/31|Carrer Jesús , 12, bxs.|Barcelona|08012|Barcelonès|Assistencial|Assistencial ; Immigració
Fundació Privada Prat|Fundació|2026|2004/10/21|Carrer Roger de Llúria , 97|Barcelona|08009|Barcelonès|Cultural i Docent|Cultural ; Docent ; Gestió centres d'ensenyament
Fundació Privada Prats|Fundació|1835|2003/07/08|Passeig Gran Passeig Ronda , 88|Lleida|25006|Segrià|Cultural|Cultural ; Promoció
Fundació Privada President Amat Roumens|Fundació|199|1985/10/06|Carrer Campiones Olímpiques -Apartat Correus núm. 576 , 36|Terrassa|08225|Vallès Occidental|Assistencial|Discapacitats ; Assistencial
Fundació Privada President Samaranch|Fundació|1960|2004/04/14|Passeig Vall d'Hebron , 196|Barcelona|08035|Barcelonès|Cultural|Esportives ; Cultural
Fundació Privada President Torres Falguera|Fundació|309|1987/06/04|Avinguda de l'Abat Marcet , 78|Terrassa|08225|Vallès Occidental|Assistencial|Assistencial ; Residències
Fundació Privada Presme|Fundació|1455|2000/10/09|Carrer Montornès , 14|Barcelona|08023|Barcelonès|Assistencial i Docent|Docent ; Assistencial ; Cooperació al desenvolupament
Fundació Privada Pro Dependència i Mobilitat|Fundació|2466|2008/07/21|Passeig Marítim de la Barceloneta , 25-29, L-21|Barcelona|08003|Barcelonès|Assistencial|Assistencial
Fundació Privada Pro Disminuïts Psíquics del Berguedà|Fundació|1971|2004/05/10|Carrer Balmes , 8|Berga|08600|Berguedà|Assistencial i Docent|Docent ; Assistencial ; Discapacitats
Fundació Privada Pro Intervenció Primerenca del Autisme (FIPA)|Fundació|1366|2000/01/20|Camí Verneda , 35-41|Barcelona|08020|Barcelonès|Assistencial i Docent|Assistencial ; Docent ; Discapacitats
Fundació Privada Pro Minusvàlids Castell de Subirats|Fundació|669|1993/06/03|Santuari de la Font Santa , s/n|Subirats|08739|Alt Penedès|Assistencial|Discapacitats ; Assistencial
Fundació Privada Pro Vellesa Autònoma PROVEA|Fundació|1834|2003/07/03|Carrer Balmes , 209, 2n 1a|Barcelona|08006|Barcelonès|Assistencial|Gent gran ; Assistencial
Fundació Privada Proajuda Global|Fundació|2542|2009/01/23|Carrer Bisbe Lorenzana , 48|Girona|17002|Gironès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Progrup|Fundació|1942|2004/03/05|Carrer Santa Clara , 2|Girona|17001|Gironès|Cultural|Realització actes culturals ; Cultural
Fundació Privada Projecte Aura|Fundació|1980|2004/05/26|Ronda General Mitre , 174, 1r 3a|Barcelona|08022|Barcelonès|Assistencial i Docent|Assistencial ; Docent ; Discapacitats
Fundació Privada Projecte Dhisa|Fundació|3049|2018/01/15|Carrer de Ricard Guinó , 9|Girona|17003|Gironès|Sense Classificacio|Assistencial
Fundació Privada Promediterrània per a la Conservació, l'Estudi i la Difusió del Patrimoni Marítim|Fundació|1970|2004/05/10|Carrer Major , 56|Palamós|17230|Baix Empordà|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Promocions d'Iniciatives|Fundació|1262|1999/03/02|Plaça Vila de Madrid , 5|Barcelona|08010|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Promoció i Desenvolupament Proide|Fundació|1434|2000/08/01|Carrer Sant Joan de la Salle , 42|Barcelona|08022|Barcelonès|Assistencial|Cooperació al desenvolupament ; Assistencial
Fundació Privada Promotors Immobiliaris de Tarragona|Fundació|1135|1998/01/16|Avinguda Pau Casals , 11, 6è|Tarragona|43003|Tarragonès|Cultural|Realització actes culturals ; Cultural
Fundació Privada Proyecto Flor|Fundació|902|1995/05/30|Carrer Milà i Fontanals , 14-26, bxs. 1a|Barcelona|08012|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural ; Discapacitats
Fundació Privada Prudenci Bertrana|Fundació|710|1993/07/27|Carrer Emili Grahït , 49-51, B, 5è B|Girona|17003|Gironès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Psico-Art de Catalunya|Fundació|700|1993/07/05|Carrer Vila i Vilà , 21, 7è 1a|Barcelona|08004|Barcelonès|Assistencial|Infància i adolescència ; Assistencial
Fundació Privada Puig d'Ossa|Fundació|507|1991/01/23|Avinguda Isidre Martí , 17-19|Esplugues de Llobregat|08950|Baix Llobregat|Assistencial|Assistencial ; 3a edat
Fundació Privada Puig i Cunyer|Fundació|304|1987/05/11|Passeig de Puig i Cunyer , 20|Sant Julià de Vilatorta|08504|Osona|Docent|Gestió centres d'ensenyament ; Docent
Fundació Privada Puigcerver|Fundació|1937|2004/03/03|Carrer Astorga , 13|Reus|43205|Baix Camp|Cultural i Docent|Cultural ; Docent ; Altres activitats formatives
Fundació Privada Pujol i Gorné|Fundació|1938|2004/03/03|Plaça de l'Esport , 1|Mollerussa|25230|Pla d'Urgell|Assistencial i Cultural|Cultural ; Assistencial ; Cooperació al desenvolupament ; Altres activitats formatives
Fundació Privada Quail Espanya|Fundació|572|1991/12/31|Avinguda Diagonal , 484|Barcelona|08006|Barcelonès|Assistencial i Cultural|Assistencial ; Promoció ; Cultural
Fundació Privada Quiropràctica|Fundació|2427|2008/04/14|Carrer Balmes , 132-134, 5è|Barcelona|08008|Barcelonès|Cultural|Cultural
Fundació Privada Rafael Benet|Fundació|425|1989/04/11|Carrer Pau Claris , 148, 1r 1a|Barcelona|08009|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Rafael Cusí i Furtunet|Fundació|386|1988/07/15|Carrer Escoles Pies , 2, 3r|Barcelona|08017|Barcelonès|Cultural|Cultural ; Altres activitats formatives ; Docent
Fundació Privada Rafael Espino|Fundació|505|1991/01/08|Carrer Roger de Llúria , 104, bxs.|Barcelona|08037|Barcelonès|Cultural|Cultural ; Promoció ; Jurídica
Fundació Privada Ramana|Fundació|1731|2002/12/05|Carrer Casp , 46, 5è F|Barcelona|08010|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Privada Ramar|Fundació|1109|1997/10/20|Carrer Escola Pia , 27-33|Sabadell|08201|Vallès Occidental|Docent|Altres activitats formatives ; Docent
Fundació Privada Ramon Calsina|Fundació|2582|2009/07/10|Carrer Villar , 45, sot. 1a|Barcelona|08041|Barcelonès|Cultural|Cultural
Fundació Privada Ramon Martí i Bonet contra la Ceguera|Fundació|2490|2008/10/09|Carrer Pau Alcover , 67|Barcelona|08017|Barcelonès|Assistencial, Docent i Fins Científics|Fins científics ; Docent ; Assistencial
Fundació Privada Ramon Noguera de Girona|Fundació|1005|1996/07/23|Carrer Indústria , 22|Girona|17005|Gironès|Assistencial|Assistencial ; Tutelar discapacitats psíquics ; Discapacitats
Fundació Privada Ramon Vilallonga|Fundació|2532|2008/12/19|Plaça Poeta Marquina , 9, 1r E|Girona|17002|Gironès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Privada Ramon de Batlle|Fundació|1416|2000/06/09|Carrer Mas Joals|Riudellots de la Selva|17457|Selva|Docent|Altres activitats formatives ; Docent
Fundació Privada Ramona Malagarriga Espina|Fundació|1115|1997/10/30|Carrer Casa Serve|Fonollosa|08259|Bages|Cultural|Cultural ; Realització actes culturals ; Religioses
Fundació Privada Ramón Torras Huguet|Fundació|2667|2011/03/16|Carrer Aribau , 95, pral. 2a|Barcelona|08036|Barcelonès|Cultural|Cultural
Fundació Privada Rasim|Fundació|2348|2007/07/30|Carrer Dos de Maig , 66, 1r|Mollet del Vallès|08100|Vallès Oriental|Cultural|Cultural
Fundació Privada Recer|Fundació|1607|2002/01/03|Carrer Duke Ellington , s/n|Lleida|25192|Segrià|Assistencial|Assistencial ; Tutelar discapacitats
Fundació Privada Reddis|Fundació|621|1992/07/31|Plaça de la Llibertat , 6-8, entl.|Reus|43201|Baix Camp|Cultural i Docent|Cultural ; Docent ; Altres activitats formatives
Fundació Privada Redós de Sant Josep i Sant Pere|Fundació|212|1985/11/28|Avinguda Josep Pere Jacas , 15|Sant Pere de Ribes|08810|Garraf|Assistencial|Assistencial ; Residències
Fundació Privada Reeixida|Fundació|1964|2004/04/26|Carrer Calàbria , 55, bxs.|Garriga|08530|Vallès Oriental|Cultural|Cultural ; Realització actes culturals
Fundació Privada Reial Club Deportiu Espanyol de Barcelona|Fundació|1172|1998/05/07|Avinguda del Baix Llobregat , 100|Cornellà de Llobregat|08940|Baix Llobregat|Cultural|Esportives ; Cultural
Fundació Privada Relleu|Fundació|685|1993/06/23|Carrer Aragó , 287, B, 3r 2a|Barcelona|08009|Barcelonès|Cultural|Cultural ; Editorials
Fundació Privada Remença XXI|Fundació|2076|2005/03/07|Carrer Sant Nazari , 7|Calonge|17251|Baix Empordà|Cultural|Realització actes culturals ; Cultural
Fundació Privada Residència Geriàtrica Nostra Senyora del Remei d'Arenys de Munt|Fundació|1415|2000/06/15|Carrer Nou , 2|Arenys de Munt|08358|Maresme|Assistencial|Assistencial ; Residències
Fundació Privada Residència Sant Roc|Fundació|398|1988/10/17|Plaça Dr. Armengou , 1|Gironella|08680|Berguedà|Assistencial|Residències ; Assistencial
Fundació Privada Residència Santa Susanna|Fundació|201|1985/10/14|Carrer Font i Boet , 16|Caldes de Montbui|08140|Vallès Oriental|Assistencial|Assistencial ; Residències
Fundació Privada Residència de la Tercera Edat Sant Jaume|Fundació|387|1988/07/29|Plaça Compte i Viladomat , 2|Cardona|08261|Bages|Assistencial|Assistencial ; Residències
Fundació Privada Residència-Centre de Dia Bisaura|Fundació|2085|2005/04/11|Plaça Major , 1|Sant Quirze de Besora|08580|Osona|Assistencial|Assistencial ; Discapacitats ; Drogodependents ; 3a edat ; Famílies
Fundació Privada Resilis|Fundació|2336|2007/07/11|Carrer Garrotxa , 7, bxs.|Girona|17006|Gironès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Ressons|Fundació|963|1996/03/12|Carrer Almeria , 57|Barcelona|08014|Barcelonès|Docent|Docent ; Altres activitats formatives
Fundació Privada Restaura per a la Promoció d'Activitats Docents i Socials en l'Àmbit de la Rehabilitació de Edificis i Ciutats|Fundació|2181|2006/03/31|Carrer Gran Via de les Corts Catalanes , 651, 3r 1a|Barcelona|08011|Barcelonès|Cultural|Cultural
Fundació Privada Revista de Catalunya|Fundació|235|1986/03/05|Carrer Jovellanos , 2, prl. 2a|Barcelona|08001|Barcelonès|Cultural|Editorials ; Cultural
Fundació Privada Rialb per a la Conservació i Restauració de Camins i Edificacions Rurals de Catalunya|Fundació|2382|2007/12/12|Avinguda Diagonal , 620, 1r 2a|Barcelona|08021|Barcelonès|Cultural|Cultural
Fundació Privada Ribermúsica|Fundació|1491|2001/01/11|Carrer Placeta Montcada , 14, 4a|Barcelona|08003|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Ricard Salvat|Fundació|2725|2012/04/24|Plaça de Sant Just , 1, bxs.|Barcelona|08002|Barcelonès|Cultural|Cultural
Fundació Privada Ricard Vicente de la Garriga|Fundació|2964|2016/05/02|Passeig Dr. Vich , 5|Garriga|08530|Vallès Oriental|Cultural|Cultural
Fundació Privada Rius i Virgili|Fundació|953|1996/02/27|Carrer Avinguda  317 , 6, torre|Castelldefels|08860|Baix Llobregat|Cultural|Cultural
Fundació Privada Rivaria|Fundació|1213|1998/09/02|Passeig Gràcia , 55, 3r 3a|Barcelona|08007|Barcelonès|Cultural|Artístiques ; Cultural
Fundació Privada Roca Galés|Fundació|102|1984/11/02|Carrer Aragó , 281, 1r 1a|Barcelona|08009|Barcelonès|Cultural|Cooperació al desenvolupament ; Cultural
Fundació Privada Roca Sastre|Fundació|1546|2001/05/11|Carrer Canceller Dou , 2|Cervera|25200|Segarra|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Roig-Cerveró|Fundació|59|1984/07/03|Carrer Ample , 60, 2n 2a|Reus|43205|Baix Camp|Cultural i Docent|Docent ; Cultural ; Realització actes culturals
Fundació Privada Roman Prado Junior|Fundació|1015|1996/09/30|Carrer Can Mitjans , Nau, 29|Cerdanyola del Vallès|08290|Vallès Occidental|Cultural i Fins Científics|Cultural ; Fins científics
Fundació Privada Rosa Alfieri de Biología y Medicina Tropical|Fundació|2127|2005/10/24|Via Augusta , 13-15, 5è 508|Barcelona|08006|Barcelonès|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Privada Rosa Oriol|Fundació|2665|2011/03/04|Carretera de Vic , 181|Manresa|08242|Bages|Assistencial|Assistencial
Fundació Privada Rosella|Fundació|2536|2008/12/19|Avinguda Josep Tarradellas , 157, pral. 2a|Barcelona|08029|Barcelonès|Assistencial|Assistencial
